ano;tipo_uva;cultivar;quantidade
2013;Brancas;BRANCAS;4412
2013;Outros;Cardinal;0
2013;Outros;Golden Queen;0
2013;Outros;Patrícia;0
2013;Outros;Perlona;3378
2013;Outros;Italia;0
2013;Outros;Rubi (Itália, Itália Ro);1034
2014;Tintas;TINTAS;65850
2014;Outros;Alphonse Lavallee;0
2014;Outros;Moscato de Hamburgo;65850
2014;Brancas;BRANCAS;30600
2014;Outros;Cardinal;0
2014;Outros;Golden Queen;0
2014;Outros;Patrícia;0
2014;Outros;Perlona;850
2014;Outros;Italia;0
2014;Outros;Rubi (Itália, Itália Ro);29750
2015;Tintas;TINTAS;108797
2015;Outros;Alphonse Lavallee;0
2015;Outros;Moscato de Hamburgo;108797
2015;Brancas;BRANCAS;64540
2015;Outros;Cardinal;0
2015;Outros;Golden Queen;0
2015;Outros;Patrícia;0
2015;Outros;Perlona;3280
2015;Outros;Italia;0
2015;Outros;Rubi (Itália, Itália Ro);61260
2016;Tintas;TINTAS;51310
2016;Outros;Alphonse Lavallee;0
2016;Outros;Moscato de Hamburgo;51310
2016;Brancas;BRANCAS;3260
2016;Outros;Cardinal;0
2016;Outros;Golden Queen;0
2016;Outros;Patrícia;0
2016;Outros;Perlona;290
2016;Outros;Italia;0
2016;Outros;Rubi (Itália, Itália Ro);2970
2017;Tintas;TINTAS;85510
2017;Outros;Alphonse Lavallee;0
2017;Outros;Moscato de Hamburgo;85510
2017;Brancas;BRANCAS;5900
2017;Outros;Cardinal;0
2017;Outros;Golden Queen;0
2017;Outros;Patrícia;0
2017;Outros;Perlona;180
2017;Outros;Italia;0
2017;Outros;Rubi (Itália, Itália Ro);5720
2018;Tintas;TINTAS;62567
2018;Outros;Alphonse Lavallee;0
2018;Outros;Moscato de Hamburgo;62567
2018;Brancas;BRANCAS;730
2018;Outros;Cardinal;0
2018;Outros;Golden Queen;0
2018;Outros;Patrícia;0
2018;Outros;Perlona;730
2018;Outros;Italia;0
2018;Outros;Rubi (Itália, Itália Ro);0
2019;Tintas;TINTAS;nd
2019;Outros;Alphonse Lavallee;nd
2019;Outros;Moscato de Hamburgo;nd
2019;Brancas;BRANCAS;nd
2019;Outros;Cardinal;nd
2019;Outros;Golden Queen;nd
2019;Outros;Patrícia;nd
2019;Outros;Perlona;nd
2019;Outros;Italia;nd
2019;Outros;Rubi (Itália, Itália Ro);nd
2020;Tintas;TINTAS;63474
2020;Outros;Alphonse Lavallee;0
2020;Outros;Moscato de Hamburgo;63474
2020;Brancas;BRANCAS;45610
2020;Outros;Cardinal;0
2020;Outros;Golden Queen;0
2020;Outros;Patrícia;0
2020;Outros;Perlona;0
2020;Outros;Italia;0
2020;Outros;Rubi (Itália, Itália Ro);45610
2021;Tintas;TINTAS;21732
2021;Outros;Alphonse Lavallee;0
2021;Outros;Moscato de Hamburgo;21732
2021;Brancas;BRANCAS;52760
2021;Outros;Cardinal;0
2021;Outros;Golden Queen;0
2021;Outros;Patrícia;0
2021;Outros;Perlona;1710
2021;Outros;Italia;0
2021;Outros;Rubi (Itália, Itália Ro);51050
2022;Tintas;TINTAS;*
2022;Outros;Alphonse Lavallee;*
2022;Outros;Moscato de Hamburgo;*
2022;Brancas;BRANCAS;*
2022;Outros;Cardinal;*
2022;Outros;Golden Queen;*
2022;Outros;Patrícia;*
2022;Outros;Perlona;*
2022;Outros;Italia;*
2022;Outros;Rubi (Itália, Itália Ro);*
2023;Tintas;TINTAS;175030
2023;Outros;Alphonse Lavallee;0
2023;Outros;Moscato de Hamburgo;175030
2023;Brancas;BRANCAS;13440
2023;Outros;Cardinal;0
2023;Outros;Golden Queen;0
2023;Outros;Patrícia;0
2023;Outros;Perlona;0
2023;Outros;Italia;0
2023;Outros;Rubi (Itália, Itália Ro);13440
